plotid,cornerid,P1,P2,P3,P4,P5,XMAX,Y,X,YMIN,negtheta,cos,sin,negsin
uhnb3mes,north_3_meso,"[262986.18, 53128.250]","[262967.50, 53029.843]","[262870.13, 53048.717]","[262888.92, 53148.193]","[262986.18, 53128.250]",262986.18,53128.25,262967.5,53029.843,-1.383204355,0.186493656,-0.982456165,0.982456165
uhnb3meg,north_3_mega,"[262967.50, 53029.843]","[262948.43, 52931.483]","[262850.56, 52951.355]","[262870.13, 53048.717]","[262967.50, 53029.843]",262967.5,53029.843,262948.43,52931.483,-1.379292609,0.190335338,-0.981719134,0.981719134
uhnb3con,north_3_control,"[262870.13, 53048.717]","[262850.56, 52951.355]","[262750.70, 52970.600]","[262770.22, 53070.147]","[262870.13, 53048.717]",262870.13,53048.717,262850.56,52951.355,-1.372437064,0.197061032,-0.980391223,0.980391223
uhnb3tot,north_3_total,"[262888.92, 53148.193]","[262870.13, 53048.717]","[262770.23, 53070.147]","[262791.57, 53167.567]","[262888.92, 53148.193]",262888.92,53148.193,262870.13,53048.717,-1.384106133,0.185607623,-0.982623942,0.982623942
uhnb1meg,north_1_mega,"[263329.31, 53026.582]","[263261.63, 52950.809]","[263188.22, 53018.176]","[263255.30, 53090.794]","[263329.31, 53026.582]",263329.31,53026.582,263261.63,52950.809,-0.841754116,0.66615561,-0.745812781,0.745812781
uhnb1tot,north_1_total,"[263261.63, 52950.809]","[263194.36, 52877.673]","[263121.52, 52944.226]","[263188.22, 53018.176]","[263261.63, 52950.809]",263261.63,52950.809,263194.36,52877.673,-0.827152722,0.676974117,-0.736006824,0.736006824
uhnb1mes,north_1_meso,"[263188.22, 53018.176]","[263121.52, 52944.226]","[263046.61, 53011.135]","[263113.18, 53085.240]","[263188.22, 53018.176]",263188.22,53018.176,263121.52,52944.226,-0.836898974,0.66976877,-0.742569724,0.742569724
uhnb1con,north_1_control,"[263255.30, 53090.794]","[263188.22, 53018.176]","[263113.18, 53085.240]","[263179.57, 53160.008]","[263255.30, 53090.794]",263255.3,53090.794,263188.22,53018.176,-0.825020074,0.67854222,-0.734561403,0.734561403
uhnb2mes,north_2_meso,"[263447.39, 53313.388]","[263402.04, 53224.852]","[263311.74, 53268.180]","[263358.10, 53358.765]","[263447.39, 53313.388]",263447.39,53313.388,263402.04,53224.852,-1.097419771,0.455894128,-0.890034013,0.890034013
uhnb2tot,north_2_total,"[263402.04, 53224.852]","[263356.74, 53135.370]","[263267.30, 53181.128]","[263311.74, 53268.180]","[263402.04, 53224.852]",263402.04,53224.852,263356.74,53135.37,-1.102163563,0.451666878,-0.892186657,0.892186657
